,,,
,,,
,,,
As of:,"Oct 21, 2016",,
,,,
,,,
Effective date ,Dow Jones Industrial Average Total Return,Dow Jones Industrial Average Net Total Return,Dow Jones Industrial Average
11/29/2007,22002.52,20843.19,13311.73
11/30/2007,22101.67,20937.12,13371.72
12/3/2007,22007.22,20847.64,13314.57
12/4/2007,21898.39,20744.55,13248.73
12/5/2007,22235.42,21060.21,13444.96
12/6/2007,22524.73,21334.23,13619.89
12/7/2007,22534.14,21343.14,13625.58
12/10/2007,22703,21502.77,13727.03
12/11/2007,22216.31,21041.82,13432.77
12/12/2007,22287.31,21108.22,13473.9
12/13/2007,22360.19,21177.24,13517.96
12/14/2007,22065.58,20898.22,13339.85
12/17/2007,21779.99,20627.74,13167.2
12/18/2007,21887.96,20730,13232.47
12/19/2007,21846.28,20690.52,13207.27
12/20/2007,21913.93,20753.4,13245.64
12/21/2007,22263.35,21081.4,13450.65
12/24/2007,22426.69,21236.07,13549.33
12/25/2007,22426.69,21236.07,13549.33
12/26/2007,22430.59,21239.77,13551.69
12/27/2007,22112.65,20938.71,13359.61
12/28/2007,22123.01,20948.52,13365.87
12/31/2007,21955.77,20790.15,13264.82
1/1/2008,21955.77,20790.15,13264.82
1/2/2008,21597.61,20448.91,13043.96
1/3/2008,21618.74,20468.91,13056.72
1/4/2008,21193.96,20066.72,12800.18
1/7/2008,21239.19,20109.54,12827.49
1/8/2008,20855.39,19743.04,12589.07
1/9/2008,21097.65,19972.38,12735.31
1/10/2008,21292.78,20157.11,12853.09
1/11/2008,20883.94,19770.07,12606.3
1/14/2008,21168.62,20039.57,12778.15
1/15/2008,20709.68,19605.11,12501.11
1/16/2008,20656.48,19553.4,12466.16
1/17/2008,20152.59,19075.08,12159.21
1/18/2008,20053.3,18981.1,12099.3
1/21/2008,20053.3,18981.1,12099.3
1/22/2008,19840.97,18780.12,11971.19
1/23/2008,20336.5,19249.16,12270.17
1/24/2008,20516.23,19419.27,12378.61
1/25/2008,20232.08,19150.32,12207.17
1/28/2008,20524.98,19427.56,12383.89
1/29/2008,20684.77,19578.81,12480.3
1/30/2008,20622.66,19520.02,12442.83
1/31/2008,20971,19848.49,12650.36
2/1/2008,21124.9,19994.15,12743.19
2/4/2008,20945.81,19824.64,12635.16
2/5/2008,20334.06,19245.17,12265.13
2/6/2008,20243.56,19154.59,12200.1
2/7/2008,20326.13,19231.37,12247
2/8/2008,20218.46,19129.51,12182.13
2/11/2008,20314.52,19220.4,12240.01
2/12/2008,20535.92,19429.87,12373.41
2/13/2008,20846.15,19719.58,12552.24
2/14/2008,20555.09,19444.24,12376.98
2/15/2008,20507.3,19399.04,12348.21
2/18/2008,20507.3,19399.04,12348.21
2/19/2008,20490.53,19382.76,12337.22
2/20/2008,20646.89,19528.73,12427.26
2/21/2008,20413.52,19306.82,12284.3
2/22/2008,20579.9,19462.57,12381.02
2/25/2008,20894.39,19759.99,12570.22
2/26/2008,21085.06,19940.3,12684.92
2/27/2008,21100.62,19955.02,12694.28
2/28/2008,20919.31,19782.13,12582.18
2/29/2008,20394.27,19285.63,12266.39
3/3/2008,20381.82,19273.86,12258.9
3/4/2008,20306.83,19202.95,12213.8
3/5/2008,20391.9,19278.69,12254.99
3/6/2008,20034.82,18941.09,12040.39
3/7/2008,19790.71,18710.31,11893.69
3/10/2008,19536.29,18469.48,11740.15
3/11/2008,20232.8,19127.06,12156.81
3/12/2008,20163.63,19059.31,12110.24
