,,,
,,,
,,,
As of:,"Oct 21, 2016",,
,,,
,,,
Effective date ,Dow Jones Industrial Average Total Return,Dow Jones Industrial Average Net Total Return,Dow Jones Industrial Average
12/31/2013,32397.14,29185.23,16576.66
1/2/2014,32139.6,28951.36,16441.35
1/3/2014,32195.59,29001.79,16469.99
1/6/2014,32107.84,28922.75,16425.1
1/7/2014,32314.72,29109.11,16530.94
1/8/2014,32196.72,28998.67,16462.74
1/9/2014,32161.55,28967,16444.76
1/10/2014,32146.48,28953.42,16437.05
1/13/2014,31796.19,28637.93,16257.94
1/14/2014,32022.89,28842.11,16373.86
1/15/2014,32234.27,29032.49,16481.94
1/16/2014,32114.83,28922.88,16417.01
1/17/2014,32196.11,28996.08,16458.56
1/21/2014,32109.8,28918.35,16414.44
1/22/2014,32036.96,28850.71,16373.34
1/23/2014,31692.6,28540.6,16197.35
1/24/2014,31069.92,27979.84,15879.11
1/27/2014,30989.24,27907.19,15837.88
1/28/2014,31166.67,28066.97,15928.56
1/29/2014,30795.36,27732.59,15738.79
1/30/2014,31010.23,27926.09,15848.61
1/31/2014,30717.2,27662.21,15698.85
2/3/2014,30079.25,27087.7,15372.8
2/4/2014,30220.99,27215.35,15445.24
2/5/2014,30217.28,27210.36,15440.23
2/6/2014,30605.63,27554.7,15628.53
2/7/2014,30929.85,27846.6,15794.08
2/10/2014,30944.94,27860.19,15801.79
2/11/2014,31322.86,28200.43,15994.77
2/12/2014,31313.11,28177.98,15963.94
2/13/2014,31437.94,28290.32,16027.59
2/14/2014,31686.66,28514.13,16154.39
2/18/2014,31643.14,28474.02,16130.4
2/19/2014,31466.89,28315.42,16040.56
2/20/2014,31651.46,28480.75,16133.23
2/21/2014,31601.06,28433.16,16103.3
2/24/2014,31804.84,28616.51,16207.14
2/25/2014,31750.9,28567.98,16179.66
2/26/2014,31794.63,28605.46,16198.41
2/27/2014,31953.58,28744.89,16272.65
2/28/2014,32049.93,28831.56,16321.71
3/3/2014,31748.16,28560.1,16168.03
3/4/2014,32195.58,28962.59,16395.88
3/5/2014,32125.46,28899.51,16360.18
3/6/2014,32252.95,29012.5,16421.89
3/7/2014,32319.55,29070.77,16452.72
3/10/2014,32252.69,29010.63,16418.68
3/11/2014,32126.16,28895.22,16351.25
3/12/2014,32111.58,28880.12,16340.08
3/13/2014,31662.8,28475,16108.89
3/14/2014,31577.85,28398.6,16065.67
3/17/2014,31934.69,28719.52,16247.22
3/18/2014,32109.58,28876.8,16336.19
3/19/2014,31885.47,28675.25,16222.17
3/20/2014,32099.48,28867.72,16331.05
3/21/2014,32043.88,28817.71,16302.77
3/24/2014,31992.63,28771.62,16276.69
3/25/2014,32171.87,28932.82,16367.88
3/26/2014,31977.48,28758,16268.99
3/27/2014,31968.14,28749.6,16264.23
3/28/2014,32083.77,28853.58,16323.06
3/31/2014,32348.34,29091.52,16457.66
4/1/2014,32498.04,29225.5,16532.61
4/2/2014,32585.15,29301.76,16573
4/3/2014,32584.26,29300.96,16572.55
4/4/2014,32269.99,29018.35,16412.71
4/7/2014,31941.95,28723.37,16245.87
4/8/2014,31974.65,28749.41,16256.14
4/9/2014,32330.73,29069.57,16437.18
4/10/2014,31805.64,28597.44,16170.22
4/11/2014,31523.45,28343.72,16026.75
4/14/2014,31811.58,28602.78,16173.24
4/15/2014,31987.28,28760.76,16262.56
4/16/2014,32314.06,29052.53,16424.85
4/17/2014,32281.97,29023.68,16408.54
4/21/2014,32362.07,29095.7,16449.25
4/22/2014,32490.18,29210.88,16514.37
4/23/2014,32473.3,29193.51,16501.65
4/24/2014,32473.3,29193.51,16501.65
4/25/2014,32197.42,28945.49,16361.46
4/28/2014,32369.17,29099.89,16448.74
4/29/2014,32539.65,29253.15,16535.37
4/30/2014,32629.12,29333.59,16580.84
5/1/2014,32585.9,29294.74,16558.87
5/2/2014,32495.42,29213.39,16512.89
5/5/2014,32533.01,29246.42,16530.55
5/6/2014,32278.09,29017.25,16401.02
5/7/2014,32541.86,29245.62,16518.54
5/8/2014,32605.75,29303.03,16550.97
5/9/2014,32678.24,29365.83,16583.34
5/12/2014,32899.19,29564.39,16695.47
5/13/2014,32947.79,29605.56,16715.44
5/14/2014,32760.32,29433.73,16613.97
5/15/2014,32444.25,29146.1,16446.81
5/16/2014,32532.04,29224.97,16491.31
5/19/2014,32572.58,29261.39,16511.86
5/20/2014,32301.22,29017.62,16374.31
5/21/2014,32625.21,29305.76,16533.06
5/22/2014,32653.85,29329.09,16543.08
5/23/2014,32778.59,29441.12,16606.27
5/27/2014,32915.24,29563.86,16675.5
5/28/2014,32838.67,29493.21,16633.18
5/29/2014,32981.44,29617.85,16698.74
5/30/2014,33017.84,29650.54,16717.17
6/2/2014,33070.1,29697.46,16743.63
6/3/2014,33034.01,29663.45,16722.34
6/4/2014,33064.01,29690.39,16737.53
6/5/2014,33258.75,29865.26,16836.11
6/6/2014,33439.9,30026.05,16924.28
6/9/2014,33477.08,30059.44,16943.1
6/10/2014,33482.67,30064.45,16945.92
6/11/2014,33281.04,29883.41,16843.88
6/12/2014,33078.53,29697.74,16734.19
6/13/2014,33160.66,29771.48,16775.74
6/16/2014,33171.07,29780.82,16781.01
6/17/2014,33225.4,29829.6,16808.49
6/18/2014,33419.37,30003.75,16906.62
6/19/2014,33451.48,30031.83,16921.46
6/20/2014,33502.14,30077.3,16947.08
6/23/2014,33482.72,30059.86,16937.26
6/24/2014,33247.22,29848.44,16818.13
6/25/2014,33344.84,29936.09,16867.51
6/26/2014,33302.57,29898.13,16846.13
6/27/2014,33313.87,29908.28,16851.84
6/30/2014,33263.97,29863.49,16826.6
7/1/2014,33524.99,30096.45,16956.07
7/2/2014,33567.27,30133.76,16976.24
7/3/2014,33749.24,30297.11,17068.26
7/7/2014,33662.13,30218.91,17024.21
7/8/2014,33442.2,30018.09,16906.62
7/9/2014,33601.74,30160.41,16985.61
7/10/2014,33462.19,30035.15,16915.07
7/11/2014,33519.04,30086.18,16943.81
7/14/2014,33739.84,30284.37,17055.42
7/15/2014,33750.26,30293.72,17060.68
7/16/2014,33911.77,30436.49,17138.2
7/17/2014,33601.33,30155.47,16976.81
7/18/2014,33845.51,30374.6,17100.18
7/21/2014,33749.6,30288.53,17051.73
7/22/2014,33871.94,30398.33,17113.54
7/23/2014,33818.69,30350.53,17086.63
7/24/2014,33813.09,30345.51,17083.8
7/25/2014,33569.18,30126.61,16960.57
7/28/2014,33612.77,30165.74,16982.59
7/29/2014,33473.28,30040.54,16912.11
7/30/2014,33413.73,29986.21,16880.36
7/31/2014,32786.14,29423,16563.3
8/1/2014,32647.71,29298.77,16493.37
8/4/2014,32797.96,29433.61,16569.28
8/5/2014,32524.08,29187.06,16429.47
8/6/2014,32580.91,29230.15,16443.34
8/7/2014,32432.16,29096.69,16368.27
8/8/2014,32800.03,29426.73,16553.93
8/11/2014,32840.62,29460.78,16569.98
8/12/2014,32821.91,29444,16560.54
8/13/2014,33021.35,29617.91,16651.8
8/14/2014,33143.86,29727.8,16713.58
8/15/2014,33057.01,29646.23,16662.91
8/18/2014,33405.84,29959.07,16838.74
8/19/2014,33569.81,30105.16,16919.59
8/20/2014,33698.82,30217.92,16979.13
8/21/2014,33818.63,30325.36,17039.49
8/22/2014,33751.59,30262.84,17001.22
8/25/2014,33901.77,30397.5,17076.87
8/26/2014,33960.99,30450.6,17106.7
8/27/2014,33998.41,30482.26,17122.01
8/28/2014,33927.51,30415.09,17079.57
8/29/2014,33965.01,30448.72,17098.45
9/2/2014,33909.65,30397.47,17067.56
9/3/2014,33930.96,30416.57,17078.28
9/4/2014,33913.67,30401.07,17069.58
9/5/2014,34048.34,30521.8,17137.36
9/8/2014,34003.81,30479.99,17111.42
9/9/2014,33809.96,30306.23,17013.87
9/10/2014,33923.73,30406.93,17068.71
9/11/2014,33894.06,30377.77,17049
9/12/2014,33771.81,30268.21,16987.51
9/15/2014,33858.56,30345.96,17031.14
9/16/2014,34059.01,30525.61,17131.97
9/17/2014,34108.48,30569.95,17156.85
9/18/2014,34328.27,30766.18,17265.99
9/19/2014,34355.59,30790.67,17279.74
9/22/2014,34142.74,30599.91,17172.68
9/23/2014,33910.49,30391.75,17055.87
9/24/2014,34217.06,30666.51,17210.06
9/25/2014,33691.65,30195.62,16945.8
9/26/2014,34024.38,30493.83,17113.15
9/29/2014,33941.01,30419.1,17071.22
9/30/2014,33887.13,30370.16,17042.9
10/1/2014,33416.84,29947.79,16804.71
10/2/2014,33414.67,29944.47,16801.05
10/3/2014,33829.64,30316.35,17009.69
10/6/2014,33794.26,30284.64,16991.91
10/7/2014,33252.27,29798.94,16719.39
10/8/2014,33811.76,30296.86,16994.22
10/9/2014,33145.31,29699.68,16659.25
10/10/2014,32916.21,29494.4,16544.1
10/13/2014,32472.46,29096.78,16321.07
10/14/2014,32460.77,29086.31,16315.19
10/15/2014,32115.66,28777.07,16141.74
10/16/2014,32075.86,28739.01,16117.24
10/17/2014,32599.61,29208.27,16380.41
10/20/2014,32637.95,29242.63,16399.67
10/21/2014,33066.11,29626.24,16614.81
10/22/2014,32768.88,29357.72,16461.32
10/23/2014,33200.01,29743.97,16677.9
10/24/2014,33453.84,29971.38,16805.41
10/27/2014,33478.77,29993.71,16817.94
10/28/2014,33852.63,30328.66,17005.75
10/29/2014,33790.05,30272.59,16974.31
10/30/2014,34230.2,30666.92,17195.42
10/31/2014,34618.58,31014.87,17390.52
11/3/2014,34570.26,30971.58,17366.24
11/4/2014,34605.28,31002.96,17383.84
11/5/2014,34821.27,31192.29,17484.53
11/6/2014,34974.62,31325.87,17554.47
11/7/2014,35022.21,31366.13,17573.93
11/10/2014,35101.56,31437.19,17613.74
11/11/2014,35103.86,31439.26,17614.9
11/12/2014,35118.2,31446.8,17612.2
11/13/2014,35199.13,31519.27,17652.79
11/14/2014,35176.84,31495.63,17634.74
11/17/2014,35202.79,31518.86,17647.75
11/18/2014,35286.69,31592.92,17687.82
11/19/2014,35293.48,31596.06,17685.73
11/20/2014,35359.87,31655.49,17719
11/21/2014,35550.56,31823.8,17810.06
11/24/2014,35566.2,31837.8,17817.9
11/25/2014,35560.31,31832.52,17814.94
11/26/2014,35600.68,31864.69,17827.75
11/28/2014,35609.34,31870.37,17828.24
12/1/2014,35506.6,31778.41,17776.8
12/2/2014,35717.86,31965.87,17879.55
12/3/2014,35794.9,32031.87,17912.62
12/4/2014,35769.87,32009.48,17900.1
12/5/2014,35887.16,32114.44,17958.79
12/8/2014,35681.77,31928.75,17852.48
12/9/2014,35579.28,31837.04,17801.2
12/10/2014,35043.52,31357.63,17533.15
12/11/2014,35193.96,31485.76,17596.34
12/12/2014,34562.91,30921.21,17280.83
12/15/2014,34362.93,30742.29,17180.84
12/16/2014,34138.98,30541.95,17068.87
12/17/2014,34714.99,31057.26,17356.87
12/18/2014,35560.53,31812.92,17778.15
12/19/2014,35613.84,31860.61,17804.8
12/22/2014,35923.16,32137.33,17959.44
12/23/2014,36052.64,32253.17,18024.17
12/24/2014,36064.72,32263.97,18030.21
12/26/2014,36111.73,32306.03,18053.71
12/29/2014,36080.78,32278.34,18038.23
12/30/2014,35970.43,32179.62,17983.07
12/31/2014,35650.39,31893.31,17823.07
1/2/2015,35677.81,31915.81,17832.99
1/5/2015,35014.91,31322.81,17501.65
1/6/2015,34754.8,31090.12,17371.64
1/7/2015,35197.16,31481.43,17584.52
1/8/2015,35844.37,32060.31,17907.87
1/9/2015,35503.09,31755.06,17737.37
1/12/2015,35309.9,31582.26,17640.84
1/13/2015,35255.52,31533.62,17613.68
1/14/2015,34882.04,31199.57,17427.09
1/15/2015,34678.11,31014.76,17320.71
1/16/2015,35060.24,31356.52,17511.57
1/20/2015,35067.57,31363.07,17515.23
1/21/2015,35154.02,31438.17,17554.28
1/22/2015,35674.1,31903.27,17813.98
1/23/2015,35390.97,31650.07,17672.6
1/26/2015,35403.19,31661,17678.7
1/27/2015,34819.45,31138.96,17387.21
1/28/2015,34427.27,30788.24,17191.37
1/29/2015,34878.8,31192.04,17416.85
1/30/2015,34374.35,30740.91,17164.95
2/2/2015,34767.04,31092.1,17361.04
2/3/2015,35378.56,31638.98,17666.4
2/4/2015,35398.49,31655.01,17673.02
2/5/2015,35822.84,32034.48,17884.88
2/6/2015,35724.51,31940.37,17824.29
2/9/2015,35533.95,31769.99,17729.21
2/10/2015,35813.64,32020.06,17868.76
2/11/2015,35845.75,32036.6,17862.14
2/12/2015,36080.76,32242.94,17972.38
2/13/2015,36175.07,32327.21,18019.35
2/17/2015,36235.73,32380.35,18047.58
2/18/2015,36200.14,32348.55,18029.85
2/19/2015,36114.59,32271.3,17985.77
2/20/2015,36434.19,32554.47,18140.44
2/23/2015,36386.79,32512.12,18116.84
2/24/2015,36572.26,32677.85,18209.19
2/25/2015,36603.16,32705.45,18224.57
2/26/2015,36605.09,32701.2,18214.42
2/27/2015,36440.86,32554.48,18132.7
3/2/2015,36754.22,32834.42,18288.63
3/3/2015,36582.89,32681.36,18203.37
3/4/2015,36368.91,32490.2,18096.9
3/5/2015,36446.93,32559.9,18135.72
3/6/2015,35893.45,32063.55,17856.78
3/9/2015,36172.73,32313.03,17995.72
3/10/2015,35511.42,31720.24,17662.94
3/11/2015,35467.2,31677.75,17635.39
3/12/2015,35999.83,32150.77,17895.22
3/13/2015,35706.31,31888.64,17749.31
3/16/2015,36165.2,32298.46,17977.42
3/17/2015,35907.01,32067.87,17849.08
3/18/2015,36363.89,32475.91,18076.19
3/19/2015,36128.2,32265.42,17959.03
3/20/2015,36467.42,32568.37,18127.65
3/23/2015,36444.07,32547.51,18116.04
3/24/2015,36233.04,32359.05,18011.14
3/25/2015,35644.4,31833.34,17718.54
3/26/2015,35563.32,31760.93,17678.23
3/27/2015,35632.59,31822.79,17712.66
3/30/2015,36162.97,32296.47,17976.31
3/31/2015,35766.56,31940.75,17776.12
4/1/2015,35615.11,31804.06,17698.18
4/2/2015,35746.04,31920.98,17763.24
4/6/2015,35982.71,32132.33,17880.85
4/7/2015,35971.77,32122.56,17875.42
4/8/2015,36033.67,32175.86,17902.51
4/9/2015,36146.83,32276.9,17958.73
4/10/2015,36345.94,32454.7,18057.65
4/13/2015,36183.7,32309.82,17977.04
4/14/2015,36303.77,32417.04,18036.7
4/15/2015,36456.55,32553.46,18112.61
4/16/2015,36452.18,32547.05,18105.77
4/17/2015,35889.54,32044.68,17826.3
4/20/2015,36309.58,32419.72,18034.93
4/21/2015,36137.75,32266.29,17949.59
4/22/2015,36316.29,32425.71,18038.27
4/23/2015,36366.31,32467.98,18058.69
4/24/2015,36409.51,32506.56,18080.14
4/27/2015,36324.58,32430.73,18037.97
4/28/2015,36469.92,32560.48,18110.14
4/29/2015,36319.68,32426.35,18035.53
4/30/2015,35926.96,32075.73,17840.52
5/1/2015,36296.57,32405.72,18024.06
5/4/2015,36389.89,32489.04,18070.4
5/5/2015,36106.76,32235.39,17928.2
5/6/2015,35973.17,32105.4,17841.98
5/7/2015,36145.65,32257.47,17924.06
5/8/2015,36684.19,32738.07,18191.11
5/11/2015,36520.69,32589.53,18105.17
5/12/2015,36446.19,32523.05,18068.23
5/13/2015,36447.4,32519.62,18060.49
5/14/2015,36834.36,32864.88,18252.24
5/15/2015,36889.77,32910.47,18272.56
5/18/2015,36942.92,32957.88,18298.88
5/19/2015,36974.38,32984.83,18312.39
5/20/2015,36933.69,32944.83,18285.4
5/21/2015,36944.47,32951.75,18285.74
5/22/2015,36835.94,32854.95,18232.02
5/26/2015,36451.1,32511.69,18041.54
5/27/2015,36696.47,32730.55,18162.99
5/28/2015,36645.98,32679.09,18126.12
5/29/2015,36412.59,32470.96,18010.68
6/1/2015,36472.62,32524.5,18040.37
6/2/2015,36423.11,32478.22,18011.94
6/3/2015,36553.19,32594.21,18076.27
6/4/2015,36208.02,32286.42,17905.58
6/5/2015,36094.54,32185.23,17849.46
6/8/2015,35935.11,32040.87,17766.55
6/9/2015,35930.04,32036.36,17764.04
6/10/2015,36408.1,32462.61,18000.4
6/11/2015,36504.2,32543.67,18039.37
6/12/2015,36219.82,32290.15,17898.84
6/15/2015,36001.95,32095.91,17791.17
6/16/2015,36231.23,32300.32,17904.48
6/17/2015,36294.5,32356.72,17935.74
6/18/2015,36662.06,32683.57,18115.84
6/19/2015,36459.89,32503.34,18015.95
6/22/2015,36670.02,32690.67,18119.78
6/23/2015,36719.18,32734.49,18144.07
6/24/2015,36358.95,32413.35,17966.07
6/25/2015,36205.74,32276.77,17890.36
6/26/2015,36319.72,32378.38,17946.68
6/29/2015,35610.74,31746.34,17596.35
6/30/2015,35661.51,31790.56,17619.51
7/1/2015,35959.34,32051.32,17757.91
7/2/2015,35903.06,32001.15,17730.11
7/6/2015,35808.83,31917.17,17683.58
7/7/2015,35997.83,32085.62,17776.91
7/8/2015,35475.75,31618.29,17515.42
7/9/2015,35543,31678.23,17548.62
7/10/2015,35971.96,32060.55,17760.41
7/13/2015,36412.01,32452.75,17977.68
7/14/2015,36565.73,32589.76,18053.58
7/15/2015,36558.83,32583.61,18050.17
7/16/2015,36711.2,32716.62,18120.25
7/17/2015,36642.71,32655.58,18086.45
7/20/2015,36671,32680.79,18100.41
7/21/2015,36304.05,32353.77,17919.29
7/22/2015,36174.76,32236.15,17851.04
7/23/2015,35933.36,32021.03,17731.92
7/24/2015,35602.26,31725.98,17568.53
7/27/2015,35342.99,31494.94,17440.59
7/28/2015,35727.36,31837.46,17630.27
7/29/2015,35972.82,32056.2,17751.39
7/30/2015,35961.86,32046.43,17745.98
7/31/2015,35848.13,31945.08,17689.86
8/3/2015,35662.37,31779.55,17598.2
8/4/2015,35566.11,31693.77,17550.69
8/5/2015,35571.39,31691.53,17540.47
8/6/2015,35351.22,31488.78,17419.75
8/7/2015,35257.13,31404.97,17373.38
8/10/2015,35747.8,31842.03,17615.17
8/11/2015,35326.82,31464.4,17402.84
8/12/2015,35341.6,31473.43,17402.51
8/13/2015,35353.27,31483.82,17408.25
8/14/2015,35493.7,31608.88,17477.4
8/17/2015,35645.86,31740.52,17545.18
8/18/2015,35581.32,31681.92,17511.34
8/19/2015,35264.81,31396.38,17348.73
8/20/2015,34537.03,30748.44,16990.69
8/21/2015,33467.97,29793.93,16459.75
8/24/2015,32271.56,28728.86,15871.35
8/25/2015,31854.92,28357.95,15666.44
8/26/2015,33113.68,29478.53,16285.51
8/27/2015,33864.51,30146.93,16654.77
8/28/2015,33860.97,30138.35,16643.01
8/31/2015,33627.04,29930.13,16528.03
9/1/2015,32679.48,29084.6,16058.35
9/2/2015,33275.81,29615.33,16351.38
9/3/2015,33327.2,29660.06,16374.76
9/4/2015,32772.82,29166.68,16102.38
9/8/2015,33575.5,29878.82,16492.68
9/9/2015,33095.52,29449.86,16253.57
9/10/2015,33251.96,29589.08,16330.4
9/11/2015,33471.66,29781.75,16433.09
9/14/2015,33345.11,29669.14,16370.96
9/15/2015,33811.33,30083.96,16599.85
9/16/2015,34096.69,30337.87,16739.95
9/17/2015,33967.01,30221.64,16674.74
9/18/2015,33375.94,29695.76,16384.58
9/21/2015,33631.8,29923.4,16510.19
9/22/2015,33265.71,29597.67,16330.47
9/23/2015,33162.68,29506.01,16279.89
9/24/2015,33002.64,29363.61,16201.32
9/25/2015,33233.52,29569.04,16314.67
9/28/2015,32596.39,29002.16,16001.89
9/29/2015,32692.61,29087.77,16049.13
9/30/2015,33172.48,29514.73,16284.7
10/1/2015,33149.48,29493.5,16272.01
10/2/2015,33563.66,29860.4,16472.37
10/5/2015,34183.19,30411.57,16776.43
10/6/2015,34211.23,30436.52,16790.19
10/7/2015,34471.65,30665.1,16912.29
10/8/2015,34753.88,30916.16,17050.75
10/9/2015,34822.65,30977.34,17084.49
10/12/2015,34919.2,31063.23,17131.86
10/13/2015,34817.33,30972.62,17081.89
10/14/2015,34497.05,30687.69,16924.75
10/15/2015,34939.35,31081.16,17141.75
10/16/2015,35090.64,31215.74,17215.97
10/19/2015,35120.33,31242.15,17230.54
10/20/2015,35092.96,31217.8,17217.11
10/21/2015,35003.12,31135.48,17168.61
10/22/2015,35667.15,31723.34,17489.16
10/23/2015,35988.44,32009.1,17646.7
10/26/2015,35940.2,31966.2,17623.05
10/27/2015,35855.32,31890.7,17581.43
10/28/2015,36259.31,32250.02,17779.52
10/29/2015,36210.94,32206.99,17755.8
10/30/2015,36022.77,32039.64,17663.54
11/2/2015,36359.72,32339.33,17828.76
11/3/2015,36542.03,32501.48,17918.15
11/4/2015,36458.37,32421.87,17867.58
11/5/2015,36457.01,32418.77,17863.43
11/6/2015,36570.45,32514.92,17910.33
11/9/2015,36213.17,32194.6,17730.48
11/10/2015,36285.63,32254.8,17758.21
11/11/2015,36171.23,32153.11,17702.22
11/12/2015,35651.93,31691.49,17448.07
11/13/2015,35237.47,31323.07,17245.24
11/16/2015,35737.93,31764.05,17483.01
11/17/2015,35756.1,31778.88,17489.5
11/18/2015,36276.44,32237.61,17737.16
11/19/2015,36267.42,32229.59,17732.75
11/20/2015,36463.91,32401.48,17823.81
11/23/2015,36400.22,32344.88,17792.68
11/24/2015,36440.13,32380.34,17812.19
11/25/2015,36442.59,32382.53,17813.39
11/27/2015,36428.78,32365.82,17798.49
11/30/2015,36276.86,32228.47,17719.92
12/1/2015,36629.74,32539.82,17888.35
12/2/2015,36318.37,32259.61,17729.68
12/3/2015,35802.14,31801.07,17477.67
12/4/2015,36559.99,32474.23,17847.63
12/7/2015,36324.46,32263.85,17730.51
12/8/2015,35999.86,31973.31,17568
12/9/2015,35844.75,31835.55,17492.3
12/10/2015,36023.41,31991.64,17574.75
12/11/2015,35395.25,31432.11,17265.21
12/14/2015,35607.01,31620.15,17368.5
12/15/2015,35927.65,31904.89,17524.91
12/16/2015,36387.24,32313.02,17749.09
12/17/2015,35871.22,31853.94,17495.84
12/18/2015,35118.17,31185.23,17128.55
12/21/2015,35370.49,31409.28,17251.62
12/22/2015,35710.13,31710.89,17417.27
12/23/2015,36090.11,32048.31,17602.61
12/24/2015,35986.7,31956.48,17552.17
12/28/2015,35937.7,31912.97,17528.27
12/29/2015,36332.81,32263.83,17720.98
12/30/2015,36092.71,32050.62,17603.87
12/31/2015,35726.03,31725.01,17425.03
1/4/2016,35169.1,31228.02,17148.94
1/5/2016,35189.04,31245.72,17158.66
1/6/2016,34683.93,30794.02,16906.51
1/7/2016,33878.9,30079.27,16514.1
1/8/2016,33534.97,29773.91,16346.45
1/11/2016,33641.88,29868.84,16398.57
1/12/2016,33883.25,30083.14,16516.22
1/13/2016,33134.84,29418.66,16151.41
1/14/2016,33601.84,29833.29,16379.05
1/15/2016,32810.58,29127.89,15988.08
1/19/2016,32867.92,29178.79,16016.02
1/20/2016,32365.67,28730.43,15766.74
1/21/2016,32603.67,28941.71,15882.68
1/22/2016,33036.45,29325.87,16093.51
1/25/2016,32608.87,28946.32,15885.22
1/26/2016,33187.79,29460.21,16167.23
1/27/2016,32730.48,29054.27,15944.46
1/28/2016,32987.46,29282.39,16069.64
1/29/2016,33801.7,30005.18,16466.3
2/1/2016,33766.56,29973.98,16449.18
2/2/2016,33159.67,29435.25,16153.54
2/3/2016,33543.46,29773.84,16336.66
2/4/2016,33714.86,29924.04,16416.58
2/5/2016,33280.27,29538.31,16204.97
2/8/2016,32933.16,29225.36,16027.05
2/9/2016,32917.4,29208.64,16014.38
2/10/2016,32748.9,29049.46,15914.74
2/11/2016,32225.09,28584.82,15660.18
2/12/2016,32870.52,29157.33,15973.84
2/16/2016,33348.67,29576.11,16196.41
2/17/2016,33889.72,30053.02,16453.83
2/18/2016,33806.5,29979.22,16413.43
2/19/2016,33772.93,29946.64,16391.99
2/22/2016,34244.05,30364.39,16620.66
2/23/2016,33854.9,30019.33,16431.78
2/24/2016,33964.54,30116.54,16484.99
2/25/2016,34405.19,30506.41,16697.29
2/26/2016,34299.63,30409.47,16639.97
2/29/2016,34054.29,30189.52,16516.5
3/1/2016,34773.01,30826.67,16865.08
3/2/2016,34843.61,30889.25,16899.32
3/3/2016,34937.79,30972.15,16943.9
3/4/2016,35067.42,31087.06,17006.77
3/7/2016,35205.95,31209.87,17073.95
3/8/2016,34997.8,31020.47,16964.1
3/9/2016,35086.74,31095.54,17000.36
3/10/2016,35075.93,31085.96,16995.13
3/11/2016,35537.69,31492.15,17213.31
3/14/2016,35570.35,31521.09,17229.13
3/15/2016,35616.58,31562.06,17251.53
3/16/2016,35769.85,31697.88,17325.76
3/17/2016,36091.36,31982.79,17481.49
3/18/2016,36340.77,32203.8,17602.3
3/21/2016,36385.3,32243.27,17623.87
3/22/2016,36300.05,32167.72,17582.57
3/23/2016,36134.91,32021.38,17502.59
3/24/2016,36162.05,32045.44,17515.73
3/28/2016,36202.63,32081.39,17535.39
3/29/2016,36404.39,32260.19,17633.11
3/30/2016,36576.88,32413.04,17716.66
3/31/2016,36511.7,32355.28,17685.09
4/1/2016,36733.96,32552.24,17792.75
4/4/2016,36628.77,32456.39,17737
4/5/2016,36352.71,32211.78,17603.32
4/6/2016,36597.59,32425.55,17716.05
4/7/2016,36237.97,32106.92,17541.96
4/8/2016,36310.26,32170.97,17576.96
4/11/2016,36267.82,32133.37,17556.41
4/12/2016,36608.34,32435.07,17721.25
4/13/2016,36994.7,32777.39,17908.28
4/14/2016,37041.66,32816.48,17926.43
4/15/2016,36981.8,32763.45,17897.46
4/18/2016,37202.27,32958.77,18004.16
4/19/2016,37304.44,33049.28,18053.6
4/20/2016,37392.6,33127.39,18096.27
4/21/2016,37168.45,32925.91,17982.52
4/22/2016,37212.33,32964.78,18003.75
4/25/2016,37157.55,32916.25,17977.24
4/26/2016,37184.59,32940.2,17990.32
4/27/2016,37290.47,33034,18041.55
4/28/2016,36854.78,32648.04,17830.76
4/29/2016,36736.72,32543.46,17773.64
5/2/2016,36979.62,32758.64,17891.16
5/3/2016,36689.73,32501.83,17750.91
5/4/2016,36487.46,32321.67,17651.26
5/5/2016,36515.06,32343.98,17660.71
5/6/2016,36700.13,32502.64,17740.63
5/9/2016,36628.3,32439.02,17705.91
5/10/2016,37088.45,32846.54,17928.35
5/11/2016,36683.83,32476.31,17711.12
5/12/2016,36703.27,32493.52,17720.5
5/13/2016,36319.72,32153.96,17535.32
5/16/2016,36682.98,32475.56,17710.71
5/17/2016,36328.94,32156.74,17529.98
5/18/2016,36347.1,32166.14,17526.62
5/19/2016,36157.93,31998.73,17435.4
5/20/2016,36305.21,32126.05,17500.94
5/23/2016,36288.59,32111.34,17492.93
5/24/2016,36730.7,32502.56,17706.05
5/25/2016,37032.45,32769.57,17851.51
5/26/2016,36984.29,32726.96,17828.29
5/27/2016,37086.72,32815.15,17873.22
5/31/2016,36918.04,32663.3,17787.2
6/1/2016,36923.16,32667.82,17789.67
6/2/2016,37039.57,32766.86,17838.56
6/3/2016,36974.16,32708.99,17807.06
6/6/2016,37209.35,32917.06,17920.33
6/7/2016,37246.61,32950.01,17938.28
6/8/2016,37394.78,33078.56,18005.05
6/9/2016,37353.53,33042.08,17985.19
6/10/2016,37104.62,32821.9,17865.34
6/13/2016,36840.21,32584.95,17732.48
6/14/2016,36720.41,32478.99,17674.82
6/15/2016,36657.31,32420.82,17640.17
6/16/2016,36853.7,32593.64,17733.1
6/17/2016,36733.3,32487.15,17675.16
6/20/2016,37002.86,32725.56,17804.87
6/21/2016,37054.52,32771.25,17829.73
6/22/2016,36952.9,32681.37,17780.83
6/23/2016,37431.4,33104.56,18011.07
6/24/2016,36163,31982.78,17400.75
6/27/2016,35621.6,31503.96,17140.24
6/28/2016,36181.65,31999.27,17409.72
6/29/2016,36777.99,32525.58,17694.68
6/30/2016,37267.07,32958.11,17929.99
7/1/2016,37314.18,32997.97,17949.37
7/5/2016,37091.81,32800.33,17840.62
7/6/2016,37262.02,32948.72,17918.62
